City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Vangaindrano,MG,73.04,clear sky,-23.35,47.6,Hotel Fanilo
4,Esperance,AU,76.84,clear sky,-33.8667,121.9,Hospitality Esperance
13,Butaritari,KI,82.56,broken clouds,3.0707,172.7902,Isles Sunset Lodge
22,Bowen,AU,82.62,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
27,New Norfolk,AU,75.65,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
32,Avarua,CK,84.25,few clouds,-21.2078,-159.775,Paradise Inn
36,Hobart,AU,77.02,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
37,Bima,ID,82.8,overcast clouds,-8.4667,118.7167,Lambitu Hotel
41,Ixtapa,MX,75.22,clear sky,20.7,-105.2,Hotel Plaza Providencia
42,Kapaa,US,80.58,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
44,Atambua,ID,76.19,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
47,Cape Town,ZA,70.21,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
52,Busselton,AU,77.04,clear sky,-33.65,115.3333,Observatory Guest House
54,Nabire,ID,83.93,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
56,West Bay,KY,75.27,broken clouds,19.3667,-81.4167,Calypso Cove
57,Hilo,US,77.11,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
59,Nargana,PA,78.55,scattered clouds,9.4428,-78.5906,Dubbir
60,Ruwi,OM,70.2,clear sky,23.5996,58.5507,Al Falaj Hotel
64,Rikitea,PF,76.98,overcast clouds,-23.1203,-134.9692,People ThankYou
68,Boa Vista,BR,82.38,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
69,Port Lincoln,AU,70.88,clear sky,-34.7333,135.8667,Port Lincoln Hotel
76,Kavieng,PG,83.37,light rain,-2.5744,150.7967,Nusa Island Retreat
77,Itaituba,BR,71.38,overcast clouds,-4.2761,-55.9836,Hotel Campos
78,Pontianak,ID,76.98,mist,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
82,Payakumbuh,ID,72.82,overcast clouds,-0.2202,100.6308,Dalimo Homestay
84,Sao Pedro,BR,72.19,overcast clouds,-22.5486,-47.9139,Hotel Fazenda Samambaia
89,Vaini,TO,81.77,light rain,-21.2,-175.2,Keleti Beach Resort
91,Atuona,PF,77.77,light rain,-9.8,-139.0333,Villa Enata
95,Sao Filipe,CV,70.63,scattered clouds,14.8961,-24.4956,Hotel Xaguate
102,Tomatlan,MX,71.49,clear sky,19.9333,-105.25,El Salvial
109,Moron,AR,77.99,broken clouds,-34.6534,-58.6198,Hotel Morón
112,Mahebourg,MU,76.24,overcast clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
121,Namibe,AO,70.57,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
127,Olinda,BR,76.66,overcast clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
128,Tiarei,PF,82.42,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
133,Sibolga,ID,77.02,scattered clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
135,Barreirinhas,BR,75.18,light rain,-2.7469,-42.8264,Gran Lençóis Flat Residence
137,Vanimo,PG,80.26,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
139,Georgetown,MY,81.9,haze,5.4112,100.3354,Cititel Penang
140,Touros,BR,77.88,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
141,Armidale,AU,74.8,overcast clouds,-30.5167,151.65,Abbotsleigh Motor Inn
142,Mapastepec,MX,76.87,clear sky,15.4333,-92.9,Hotel San Carlos
149,Bambous Virieux,MU,76.21,overcast clouds,-20.3428,57.7575,Casa Tia Villa
152,Inverell,AU,86.67,overcast clouds,-29.7833,151.1167,Sapphire City Motor Inn
157,Conde,BR,75.42,overcast clouds,-7.2597,-34.9075,Pousada Beija Flor
163,Puerto Ayora,EC,73.96,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
164,Curillo,CO,76.55,overcast clouds,1.0333,-75.9191,CASA CLUB
165,Tabuk,PH,77.02,scattered clouds,17.4189,121.4443,Golden Berries Hotel and Convention
171,Eyl,SO,72.91,overcast clouds,7.9803,49.8164,Amiin Hotel
176,Pitimbu,BR,77.38,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
180,Katherine,AU,84.52,overcast clouds,-14.4667,132.2667,Pine Tree Motel
184,Mount Isa,AU,82.17,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
186,Saint-Pierre,RE,76.68,few clouds,-21.3393,55.4781,Lindsey Hôtel
190,Harper,LR,78.8,clear sky,4.375,-7.7169,Screensaver
192,Colac,AU,71.62,overcast clouds,-38.3333,143.5833,Otway Gate Motel
195,Saint-Joseph,RE,75.58,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
197,Sao Felix Do Xingu,BR,70.95,light rain,-6.6447,-51.995,Rio Xingu Camping
198,Corrente,BR,72.9,moderate rain,-3.7367,-43.3394,Chapadinhense Hotel
199,Wanaka,NZ,72.1,light rain,-44.7,169.15,Wanaka Homestead Lodge and Cottages
200,Galle,LK,76.87,clear sky,6.0367,80.217,Amangalla
204,Hithadhoo,MV,80.76,broken clouds,-0.6,73.0833,Scoop Guest House
208,Christchurch,NZ,75.99,overcast clouds,-43.5333,172.6333,The George
209,Paragominas,BR,70.99,overcast clouds,-2.9667,-47.4833,INOVA
213,Grand-Santi,GF,71.11,few clouds,4.25,-54.3833,Hotel La Villa Couacou
215,Saint-Leu,RE,76.06,few clouds,-21.15,55.2833,La Caz Oceane
216,Souillac,MU,76.35,overcast clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
218,Vila Velha,BR,80.55,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
219,Carnarvon,AU,80.67,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
223,Praia,CV,70.34,broken clouds,14.9215,-23.5087,LT Aparthotel
225,Banjar,ID,82.26,light rain,-8.19,114.9675,The Hamsa Resort
226,Oussouye,SN,73.45,overcast clouds,12.485,-16.5469,Auberge du Routard
228,Mar Del Plata,AR,74.88,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
230,Codrington,AU,71.76,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
231,Reconquista,AR,73.76,clear sky,-29.15,-59.65,Grand Hotel
232,Arauca,CO,86.0,clear sky,7.0847,-70.7591,Hotel Verano Plaza
233,Coahuayana,MX,83.68,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
235,Sao Joao Da Barra,BR,75.88,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
236,Alofi,NU,81.84,overcast clouds,-19.0595,-169.9187,Taloa Heights
242,Geraldton,AU,82.81,clear sky,-28.7667,114.6,Broadwater Mariner Resort
243,Kavaratti,IN,80.82,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
248,Galesong,ID,78.82,overcast clouds,-5.3166,119.3661,Sapriadi Appy
249,Manokwari,ID,82.08,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
250,Sola,VU,81.97,overcast clouds,-13.8833,167.55,Leumerus Bungalows
253,Ulladulla,AU,82.87,broken clouds,-35.35,150.4667,Sandpiper Motel
256,Alyangula,AU,83.28,light rain,-13.8483,136.4192,Groote Eylandt Lodge
258,Ballitoville,ZA,71.24,scattered clouds,-29.539,31.2144,Hampshire Hotel-Ballito
259,Cayenne,GF,79.09,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
265,Roebourne,AU,89.8,broken clouds,-20.7833,117.1333,Latitude20 Roebourne Village
275,Puerto Leguizamo,CO,77.14,broken clouds,-0.1934,-74.7819,la casona de juancho
278,Flinders,AU,86.81,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
279,Hualmay,PE,70.27,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
281,Trat,TH,84.25,overcast clouds,12.5,102.5,สวนหนิง-อัศ
286,Launceston,AU,76.6,clear sky,-41.45,147.1667,Hotel Grand Chancellor Launceston
290,Parana,AR,70.47,clear sky,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
292,Piacabucu,BR,77.99,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
297,Grand Gaube,MU,76.37,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
298,Kununurra,AU,85.98,light rain,-15.7667,128.7333,Hotel Kununurra
299,Saint-Philippe,RE,76.59,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
305,Maceio,BR,78.24,scattered clouds,-9.6658,-35.7353,Poutur Pousada
306,Pringsewu,ID,77.58,heavy intensity rain,-5.3582,104.9744,Urban Style by Front One
309,Hambantota,LK,73.74,few clouds,6.1241,81.1185,Bungalow 63
313,Karratha,AU,85.82,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
314,Moerai,PF,79.84,clear sky,-22.4333,-151.3333,Le Manotel
315,Sumbe,AO,77.05,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
316,Yanam,IN,70.2,broken clouds,16.7333,82.2167,The Regency Hotel
322,Natal,BR,75.85,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
327,Baculin,PH,82.58,broken clouds,7.4525,126.5842,Baculin Cove Beach Resort
331,Urucara,BR,73.62,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
334,Takoradi,GH,78.69,scattered clouds,4.8845,-1.7554,Raybow International Hotel
338,Humaita,BR,71.67,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
341,Aragarcas,BR,71.91,moderate rain,-15.8975,-52.2508,Hotel Pousada Tropical
344,Berbera,SO,71.17,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
350,Port Macquarie,AU,81.9,few clouds,-31.4333,152.9167,Rydges Port Macquarie
352,Charters Towers,AU,83.98,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
353,Isangel,VU,80.82,moderate rain,-19.55,169.2667,Tanna Lodge
359,Arraial Do Cabo,BR,74.71,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
360,Anloga,GH,79.18,broken clouds,5.7947,0.8973,Pin Drop Hotel
362,Murray Bridge,AU,89.31,clear sky,-35.1167,139.2667,Balcony On Sixth Lodge
366,San Cristobal,VE,71.78,broken clouds,7.7669,-72.225,Posada Villaven C.A.
367,Tumpat,MY,77.94,clear sky,6.1978,102.171,Baan Tanyong B&B
368,Broken Hill,AU,84.51,clear sky,-31.95,141.4333,Royal Exchange Hotel
370,Barabai,ID,80.92,overcast clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
371,Faanui,PF,80.65,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
373,Quatre Cocos,MU,76.08,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
376,Sinnamary,GF,75.87,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
377,Bengkulu,ID,77.97,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
381,Hidrolandia,BR,74.95,overcast clouds,-4.4081,-40.4378,Camping Pedra do Tatu - Fazenda Alves
382,Tabou,CI,78.66,light rain,4.423,-7.3528,hotêl doufoulougou
388,Carauari,BR,73.83,overcast clouds,-4.8828,-66.8958,Hotel Fellip
389,Kawalu,ID,76.17,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
390,Kolondieba,ML,73.98,scattered clouds,11.0882,-6.8926,Hotel Dakan
393,Puerto Madryn,AR,78.42,overcast clouds,-42.7692,-65.0385,Hotel Tolosa
395,Nhulunbuy,AU,83.01,light rain,-12.2333,136.7667,East Arnhem Real Estate
396,Omboue,GA,77.95,overcast clouds,-1.5746,9.2618,Hotel Olako
398,Mitsamiouli,KM,80.49,clear sky,-11.3847,43.2844,Foyer ADM
400,Fare,PF,80.78,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
406,Meulaboh,ID,76.55,scattered clouds,4.1363,96.1285,Kost Pria
407,Mabaruma,GY,71.04,few clouds,8.2,-59.7833,Monty Brooms Guest House
409,Kathu,TH,85.69,scattered clouds,7.9178,98.3332,Novotel Phuket Resort
412,Gambela,ET,77.83,scattered clouds,8.25,34.5833,Solomon Debebe Hotel
413,Mahibadhoo,MV,81.57,scattered clouds,3.7833,72.9667,Omadhoo Inn
416,Cap Malheureux,MU,76.46,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
422,Warri,NG,72.48,overcast clouds,5.5167,5.75,BON Hotel Delta
423,Saint-Paul,RE,77.11,clear sky,-21.0096,55.2707,Boucan Canot
425,Alice Springs,AU,76.55,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
430,Farafangana,MG,74.75,few clouds,-22.8167,47.8333,Miarina
431,Paita,PE,73.96,scattered clouds,-5.0892,-81.1144,Hotel Náutico de Paita
435,Savannah Bight,HN,77.11,broken clouds,16.45,-85.85,Villa on Dunbar Rock
443,Kieta,PG,80.19,light rain,-6.2167,155.6333,Uruna Bay Retreat
445,Acari,PE,72.07,overcast clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
446,Balikpapan,ID,81.59,few clouds,-1.2675,116.8289,ibis Balikpapan
449,Bambanglipuro,ID,80.62,overcast clouds,-7.95,110.2833,Puri Brata
451,Solok,ID,70.75,overcast clouds,-0.7918,100.6593,Mami Hotel & Restaurant
454,Cabo San Lucas,MX,76.51,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
455,Mackay,AU,88.68,broken clouds,-21.15,149.2,International Lodge Motel
456,Belmonte,BR,77.5,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
458,Manggar,ID,80.71,overcast clouds,-2.8833,108.2667,Guest Hotel
460,Beira,MZ,77.09,few clouds,-19.8436,34.8389,Beira Terrace Hotel
461,Nicoya,CR,78.35,few clouds,10.1483,-85.452,Las Cabinas Del Sueño
462,Denpasar,ID,82.06,broken clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
463,Kloulklubed,PW,81.1,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
464,Kailua,US,80.15,clear sky,21.4022,-157.7394,Sheffield House Bed & Breakfast
465,Namatanai,PG,83.44,light rain,-3.6667,152.4333,Seagulls Inn Namatani
466,Ahipara,NZ,76.53,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
471,Manicore,BR,71.78,moderate rain,-5.8092,-61.3003,Hotel Durval
472,Ambon,ID,87.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
474,Cidreira,BR,71.58,few clouds,-30.1811,-50.2056,Hotel Castelo
481,Makakilo City,US,78.69,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
483,Warrnambool,AU,72.81,overcast clouds,-38.3833,142.4833,Lady Bay Resort
492,Mogadishu,SO,76.68,few clouds,2.0371,45.3438,Hotel Juba
494,Alappuzha,IN,76.06,few clouds,9.49,76.3264,Panoramic Sea Resort
509,Trincomalee,LK,77.77,scattered clouds,8.5711,81.2335,Welcombe Hotel
513,Puerto Ayacucho,VE,84.22,broken clouds,5.6639,-67.6236,Posada Turistica Manapiare
519,Sambava,MG,73.58,overcast clouds,-14.2667,50.1667,Melrose
521,Corn Island,NI,79.83,broken clouds,12.1694,-83.0418,Big Fish Guest House
524,Lagoa Formosa,BR,72.01,overcast clouds,-18.7786,-46.4075,Lagoa Hotel
532,Tautira,PF,82.0,light rain,-17.7333,-149.15,Pension Oaoa
541,Bendigo,AU,82.85,scattered clouds,-36.7667,144.2833,The Hotel Shamrock
550,Cravo Norte,CO,83.16,overcast clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
551,Port-Gentil,GA,80.96,overcast clouds,-0.7193,8.7815,Fengshui Residence
553,Baturaja,ID,76.19,overcast clouds,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
557,Neuquen,AR,80.44,clear sky,-38.9516,-68.0591,Hotel del Comahue
560,Arica,CL,70.03,clear sky,-18.475,-70.3042,Hostal Jardin Del Sol
562,Bathsheba,BB,76.57,clear sky,13.2167,-59.5167,Atlantis Hotel
564,Sinazongwe,ZM,71.92,moderate rain,-17.2614,27.4618,Lakeview Lodge
565,Wonthaggi,AU,80.17,overcast clouds,-38.6044,145.5913,Wonthaggi Caravans & Trailers
572,Wairoa,NZ,75.54,clear sky,-39.0333,177.3667,Riverside Motor Camp
577,Mattru,SL,73.8,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
578,Banda Aceh,ID,80.15,broken clouds,5.5577,95.3222,Sulthan Hotel International
579,Santa Cruz,BO,80.06,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
583,Kuala Terengganu,MY,76.96,few clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
587,Acarau,BR,78.69,overcast clouds,-2.8856,-40.12,castelo pizzaria
588,Vao,NC,79.72,light rain,-22.6667,167.4833,Hotel Kou-Bugny
589,Poum,NC,81.84,overcast clouds,-20.2333,164.0167,Gîte kajeon
594,Bitung,ID,86.85,overcast clouds,1.4451,125.1824,K2 Lembeh
599,Oranjestad,AW,78.3,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
600,Temerloh,MY,76.66,scattered clouds,3.4483,102.4176,U Design Hotel Temerloh
604,Rio Grande,BR,70.95,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
606,Yulara,AU,78.64,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
610,Campo Maior,BR,72.46,overcast clouds,-4.8278,-42.1686,Elite Hotel
611,Tamandare,BR,75.76,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
617,Anito,PH,81.84,few clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
618,Caravelas,BR,78.58,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
620,Hervey Bay,AU,86.11,few clouds,-25.2986,152.8535,Shelly Bay Resort
632,Labuhan,ID,81.64,overcast clouds,-6.8844,112.2051,DoubleFAG
644,Manado,ID,86.77,few clouds,1.487,124.8455,Aryaduta Hotel
646,Pergamino,AR,73.18,clear sky,-33.89,-60.5736,Hotel Fachinat
647,Inhambane,MZ,76.59,overcast clouds,-23.865,35.3833,Oceano
649,Kalmunai,LK,75.79,few clouds,7.4167,81.8167,VS Villa
652,Porto Novo,BJ,76.82,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
656,Coruripe,BR,77.14,overcast clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
660,Juba,SS,74.01,clear sky,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
666,Dalby,AU,84.0,overcast clouds,-27.1833,151.2667,Kobbers Motor Inn Dalby
672,Kikwit,CD,72.97,overcast clouds,-5.041,18.8162,HOTEL PLACE YALABA
682,Waipawa,NZ,71.29,clear sky,-41.4122,175.5153,Tora Coastal Walk
685,Todos Santos,MX,76.01,clear sky,23.45,-110.2167,Hotel California Todos Santos
693,Yeppoon,AU,85.78,broken clouds,-23.1333,150.7333,Villa Mar Colina
696,Pandan,PH,81.93,broken clouds,14.0453,124.1694,Bonifacio Lodge
701,Sabang,ID,81.9,broken clouds,5.8933,95.3214,Hotel Citra
703,Vaitape,PF,80.65,overcast clouds,-16.5167,-151.75,Conrad Bora Bora Nui
709,Chimbote,PE,70.63,overcast clouds,-9.0853,-78.5783,Hotel Viera Chimbote
710,Noumea,NC,85.98,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
713,Breves,BR,72.37,overcast clouds,-1.6822,-50.4803,Hotel e Restaurante Grill
718,Kantang,TH,78.89,few clouds,7.4054,99.5156,Reng Ta Chai Boutique HomeStay
