City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bradesti,RO,44.4833,23.6333,29.89,77,79,11.77,broken clouds
1,Vangaindrano,MG,-23.35,47.6,73.04,85,0,5.06,clear sky
2,Albany,US,42.6001,-73.9662,8.85,61,100,15.99,overcast clouds
3,Half Moon Bay,US,37.4636,-122.4286,64.08,61,0,1.99,clear sky
4,Esperance,AU,-33.8667,121.9,76.84,49,2,9.01,clear sky
5,Chapais,CA,49.7834,-74.8492,-18.62,99,6,2.59,clear sky
6,Airai,TL,-8.9266,125.4092,66.16,80,100,4.38,overcast clouds
7,Fortuna,US,40.5982,-124.1573,58.19,78,0,0.0,clear sky
8,Bredasdorp,ZA,-34.5322,20.0403,65.28,88,5,2.3,clear sky
9,Broome,US,42.2506,-75.833,10.02,76,75,4.0,broken clouds
10,Gat,IL,31.61,34.7642,49.41,100,0,1.81,clear sky
11,Provideniya,RU,64.3833,-173.3,4.86,86,24,4.0,few clouds
12,Leningradskiy,RU,69.3833,178.4167,-10.43,91,51,4.76,broken clouds
13,Butaritari,KI,3.0707,172.7902,82.56,72,78,18.01,broken clouds
14,Freeport,US,40.6576,-73.5832,20.52,63,100,7.0,overcast clouds
15,Porbandar,IN,21.6422,69.6093,64.15,51,0,7.67,clear sky
16,Thompson,CA,55.7435,-97.8558,-9.24,84,20,2.3,few clouds
17,Punta Arenas,CL,-53.15,-70.9167,51.91,50,0,6.91,clear sky
18,Solnechnyy,RU,50.7214,136.6319,-7.58,87,99,2.01,overcast clouds
19,Sangar,RU,63.9242,127.4739,-35.0,98,77,3.42,broken clouds
20,Bay Roberts,CA,47.5999,-53.2648,40.03,91,100,11.99,moderate rain
21,Dom Pedrito,BR,-30.9828,-54.6731,68.76,55,0,10.56,clear sky
22,Bowen,AU,-20.0167,148.2333,82.62,56,3,12.84,clear sky
23,Bluff,NZ,-46.6,168.3333,59.32,87,100,7.52,overcast clouds
24,Panzhihua,CN,26.5851,101.7128,44.13,53,0,1.72,clear sky
25,Margate,GB,51.3813,1.3862,44.31,74,7,7.0,clear sky
26,Jamestown,US,42.097,-79.2353,3.72,99,41,3.36,scattered clouds
27,New Norfolk,AU,-42.7826,147.0587,75.65,31,0,2.93,clear sky
28,Juneau,US,58.3019,-134.4197,37.22,92,100,3.0,light rain and snow
29,Hermanus,ZA,-34.4187,19.2345,65.8,83,1,10.89,clear sky
30,Barrow,US,71.2906,-156.7887,-18.09,100,72,9.91,broken clouds
31,Ushuaia,AR,-54.8,-68.3,44.26,87,100,4.61,light rain
32,Avarua,CK,-21.2078,-159.775,84.25,79,20,11.5,few clouds
33,Westport,US,41.1415,-73.3579,20.75,50,100,8.01,overcast clouds
34,Bol,TD,13.4586,14.7147,64.81,33,92,19.44,overcast clouds
35,Bud,US,39.447,-86.1758,23.86,63,91,6.38,overcast clouds
36,Hobart,AU,-42.8794,147.3294,77.02,57,20,1.01,few clouds
37,Bima,ID,-8.4667,118.7167,82.8,78,100,1.61,overcast clouds
38,Kalengwa,ZM,-13.4659,25.0027,63.27,99,100,4.05,light rain
39,Sibut,CF,5.718,19.0739,71.65,25,11,4.97,few clouds
40,Port Alfred,ZA,-33.5906,26.891,68.45,87,11,8.03,few clouds
41,Ixtapa,MX,20.7,-105.2,75.22,82,0,1.99,clear sky
42,Kapaa,US,22.0752,-159.319,80.58,67,18,1.01,few clouds
43,Ostrovnoy,RU,68.0531,39.5131,16.61,89,100,12.37,overcast clouds
44,Atambua,ID,-9.1061,124.8925,76.19,88,100,5.88,overcast clouds
45,Yellowknife,CA,62.456,-114.3525,-12.48,77,75,8.05,broken clouds
46,East London,ZA,-33.0153,27.9116,69.33,85,3,6.15,clear sky
47,Cape Town,ZA,-33.9258,18.4232,70.21,69,0,5.99,clear sky
48,Lasa,IT,46.6166,10.7002,34.29,81,15,9.01,few clouds
49,Nikolskoye,RU,59.7035,30.7861,26.87,90,100,16.64,snow
50,Akonolinga,CM,3.7667,12.25,64.58,39,99,2.57,overcast clouds
51,Yerbogachen,RU,61.2767,108.0108,-10.57,99,100,3.18,overcast clouds
52,Busselton,AU,-33.65,115.3333,77.04,60,7,13.0,clear sky
53,Shache,CN,38.4167,77.2406,23.85,48,9,3.11,clear sky
54,Nabire,ID,-3.3667,135.4833,83.93,66,100,0.94,overcast clouds
55,Markova,UA,48.6758,24.4138,32.11,68,100,22.57,overcast clouds
56,West Bay,KY,19.3667,-81.4167,75.27,68,75,3.0,broken clouds
57,Hilo,US,19.7297,-155.09,77.11,66,0,5.99,clear sky
58,Riyadh,SA,24.6877,46.7219,48.34,41,0,8.08,clear sky
59,Nargana,PA,9.4428,-78.5906,78.55,74,46,12.39,scattered clouds
60,Ruwi,OM,23.5996,58.5507,70.2,62,0,4.61,clear sky
61,Narsaq,GL,60.9167,-46.05,14.36,94,100,12.17,light snow
62,Mataura,NZ,-46.1927,168.8643,56.73,99,100,2.64,overcast clouds
63,Castro,BR,-24.7911,-50.0119,59.86,99,100,6.51,overcast clouds
64,Rikitea,PF,-23.1203,-134.9692,76.98,71,100,8.48,overcast clouds
65,Camacha,PT,33.0833,-16.3333,60.22,88,40,9.22,scattered clouds
66,Ribeira Grande,PT,38.5167,-28.7,58.68,75,98,4.65,overcast clouds
67,Devils Lake,US,48.1128,-98.8651,12.31,84,75,5.99,broken clouds
68,Boa Vista,BR,2.8197,-60.6733,82.38,54,20,10.36,few clouds
69,Port Lincoln,AU,-34.7333,135.8667,70.88,73,9,13.89,clear sky
70,Plouzane,FR,48.3833,-4.6167,48.52,100,100,4.61,mist
71,Fez,MA,34.0372,-4.9998,53.71,61,0,2.3,clear sky
72,Boralday,KZ,43.3578,76.8594,30.06,100,100,4.47,mist
73,Jega,NG,12.2175,4.3792,69.06,13,4,15.1,clear sky
74,Chokurdakh,RU,70.6333,147.9167,-12.35,87,98,1.36,overcast clouds
75,Rovaniemi,FI,66.5,25.7167,9.81,92,20,14.97,few clouds
76,Kavieng,PG,-2.5744,150.7967,83.37,73,100,5.91,light rain
77,Itaituba,BR,-4.2761,-55.9836,71.38,100,100,1.19,overcast clouds
78,Pontianak,ID,-0.0333,109.3333,76.98,94,40,3.44,mist
79,Lagoa,PT,39.05,-27.9833,58.14,73,8,15.23,clear sky
80,Tasiilaq,GL,65.6145,-37.6368,9.82,75,100,7.56,light snow
81,Bethel,US,41.3712,-73.414,18.48,61,100,3.0,overcast clouds
82,Payakumbuh,ID,-0.2202,100.6308,72.82,93,100,1.48,overcast clouds
83,Iranshahr,IR,27.2025,60.6848,55.74,47,0,6.91,clear sky
84,Sao Pedro,BR,-22.5486,-47.9139,72.19,96,100,2.42,overcast clouds
85,Te Anau,NZ,-45.4167,167.7167,57.42,93,100,0.72,moderate rain
86,Saldanha,ZA,-33.0117,17.9442,62.65,84,0,12.48,clear sky
87,Grindavik,IS,63.8424,-22.4338,36.07,75,75,13.8,broken clouds
88,Upernavik,GL,72.7868,-56.1549,-0.85,96,100,7.56,overcast clouds
89,Vaini,TO,-21.2,-175.2,81.77,76,100,11.88,light rain
90,Coquimbo,CL,-29.9533,-71.3436,63.3,78,10,8.39,clear sky
91,Atuona,PF,-9.8,-139.0333,77.77,79,22,12.01,light rain
92,Akyab,MM,20.15,92.9,56.32,69,0,7.47,clear sky
93,Brae,GB,60.3964,-1.353,39.11,61,78,28.68,broken clouds
94,Laguna,US,38.421,-121.4238,63.05,44,0,4.61,clear sky
95,Sao Filipe,CV,14.8961,-24.4956,70.63,73,31,11.48,scattered clouds
96,Requena,ES,39.4883,-1.1004,39.79,30,0,3.47,clear sky
97,Chifeng,CN,42.2683,118.9636,15.3,34,0,3.69,clear sky
98,Bilma,NE,18.6853,12.9164,56.32,21,0,12.57,clear sky
99,Tuktoyaktuk,CA,69.4541,-133.0374,-7.02,96,100,16.71,overcast clouds
100,Ancud,CL,-41.8697,-73.8203,56.43,90,100,11.39,light rain
101,Uthal,PK,25.8072,66.6219,63.43,72,0,1.32,clear sky
102,Tomatlan,MX,19.9333,-105.25,71.49,76,0,3.58,clear sky
103,Katsuura,JP,35.1333,140.3,47.19,57,92,16.69,overcast clouds
104,The Pas,CA,53.8251,-101.2541,-7.53,100,95,2.35,overcast clouds
105,Abapo,BO,-18.8333,-63.4667,74.44,46,92,2.64,overcast clouds
106,Naryan-Mar,RU,67.6713,53.087,16.03,94,100,15.1,light snow
107,Hinton,CA,53.4001,-117.5857,31.42,87,100,6.11,overcast clouds
108,Tura,IN,25.5198,90.2201,49.48,67,0,2.24,clear sky
109,Moron,AR,-34.6534,-58.6198,77.99,70,51,3.0,broken clouds
110,Constitucion,CL,-35.3333,-72.4167,58.39,93,45,8.39,scattered clouds
111,Tiznit,MA,29.5833,-9.5,57.63,30,0,25.61,clear sky
112,Mahebourg,MU,-20.4081,57.7,76.24,74,100,12.26,overcast clouds
113,Martigny,CH,46.0833,7.0833,39.92,71,4,3.53,clear sky
114,Tombouctou,ML,20.0,-3.0,71.08,11,100,13.24,overcast clouds
115,Qaanaaq,GL,77.484,-69.3632,3.94,90,100,11.12,overcast clouds
116,Hasaki,JP,35.7333,140.8333,43.29,53,42,18.05,scattered clouds
117,San Patricio,US,28.017,-97.5169,55.83,46,17,10.09,few clouds
118,Aykhal,RU,66.0,111.5,-20.24,100,5,5.53,clear sky
119,Cap-Aux-Meules,CA,47.3821,-61.8597,30.25,100,100,32.21,snow
120,Jurado,CO,7.1053,-77.7641,76.3,82,60,4.54,broken clouds
121,Namibe,AO,-15.1961,12.1522,70.57,76,100,5.73,overcast clouds
122,Los Llanos De Aridane,ES,28.6585,-17.9182,58.75,75,100,8.01,haze
123,Sitka,US,57.0531,-135.33,34.12,92,100,11.59,snow
124,Jauja,PE,-11.7758,-75.4966,48.02,87,100,2.57,overcast clouds
125,Roald,NO,62.5833,6.1333,42.33,70,40,26.46,scattered clouds
126,Severo-Kurilsk,RU,50.6789,156.125,24.85,84,100,16.73,light snow
127,Olinda,BR,-8.0089,-34.8553,76.66,81,99,5.19,overcast clouds
128,Tiarei,PF,-17.5333,-149.3333,82.42,75,71,9.6,light rain
129,Gerash,IR,27.6652,54.1371,53.19,45,0,3.91,clear sky
130,Lavrentiya,RU,65.5833,-171.0,-2.2,86,3,3.51,clear sky
131,Saryozek,KZ,44.3583,77.9753,19.56,90,100,2.89,overcast clouds
132,Valdivia,CL,-39.8142,-73.2459,55.36,86,93,3.67,overcast clouds
133,Sibolga,ID,1.7427,98.7792,77.02,87,37,1.34,scattered clouds
134,Najran,SA,17.4924,44.1277,57.9,54,5,0.89,clear sky
135,Barreirinhas,BR,-2.7469,-42.8264,75.18,86,100,3.38,light rain
136,Krasnoarmeysk,RU,51.0239,45.6969,32.07,94,100,13.42,overcast clouds
137,Vanimo,PG,-2.6741,141.3028,80.26,80,100,9.48,moderate rain
138,Riom,FR,45.9167,2.9167,31.78,96,100,1.97,overcast clouds
139,Georgetown,MY,5.4112,100.3354,81.9,83,20,3.44,haze
140,Touros,BR,-5.1989,-35.4608,77.88,82,98,10.71,overcast clouds
141,Armidale,AU,-30.5167,151.65,74.8,39,86,5.44,overcast clouds
142,Mapastepec,MX,15.4333,-92.9,76.87,61,1,9.22,clear sky
143,Ekhabi,RU,53.5102,142.9671,-5.4,91,64,9.78,broken clouds
144,Dikson,RU,73.5069,80.5464,7.61,94,100,18.97,light snow
145,Norman Wells,CA,65.282,-126.8329,-22.34,98,100,2.06,overcast clouds
146,La Ronge,CA,55.1001,-105.2842,-4.9,100,99,3.33,overcast clouds
147,Barbosa Ferraz,BR,-24.03,-52.0117,68.65,87,98,6.69,overcast clouds
148,Shellbrook,CA,53.2168,-106.4011,4.44,98,81,5.28,broken clouds
149,Bambous Virieux,MU,-20.3428,57.7575,76.21,75,100,12.46,overcast clouds
150,Beloha,MG,-25.1667,45.05,71.74,88,13,10.07,few clouds
151,Minab,IR,27.1467,57.0801,64.47,74,0,2.89,clear sky
152,Inverell,AU,-29.7833,151.1167,86.67,54,85,4.0,overcast clouds
153,Saint George,US,37.1041,-113.5841,52.95,16,0,3.0,clear sky
154,Anadyr,RU,64.75,177.4833,-14.78,99,86,2.3,overcast clouds
155,Yei,SS,4.095,30.6779,68.11,39,4,0.94,clear sky
156,Qaqortoq,GL,60.7167,-46.0333,12.7,91,100,15.05,light snow
157,Conde,BR,-7.2597,-34.9075,75.42,83,97,6.8,overcast clouds
158,Sinnai,IT,39.3042,9.2036,46.47,58,0,6.91,clear sky
159,Qandala,SO,11.472,49.8728,72.14,67,80,3.98,broken clouds
160,Dunedin,NZ,-45.8742,170.5036,58.03,92,100,4.65,overcast clouds
161,Marzuq,YE,14.4,46.4667,58.69,77,10,3.4,clear sky
162,Longyearbyen,SJ,78.2186,15.6401,6.64,66,0,17.27,clear sky
163,Puerto Ayora,EC,-0.7393,-90.3518,73.96,82,34,6.33,scattered clouds
164,Curillo,CO,1.0333,-75.9191,76.55,81,100,2.15,overcast clouds
165,Tabuk,PH,17.4189,121.4443,77.02,86,48,4.32,scattered clouds
166,Sobolevo,RU,54.4299,31.8996,23.05,92,100,17.54,light snow
167,Williston,US,48.147,-103.618,29.14,96,10,1.95,clear sky
168,Olafsvik,IS,64.8945,-23.7142,37.56,65,100,21.97,overcast clouds
169,Rocha,UY,-34.4833,-54.3333,64.04,84,2,8.61,clear sky
170,Baykit,RU,61.67,96.37,-11.43,100,100,1.66,overcast clouds
171,Eyl,SO,7.9803,49.8164,72.91,64,87,17.38,overcast clouds
172,Saskylakh,RU,71.9167,114.0833,-19.82,100,100,3.78,overcast clouds
173,Tara,RU,56.8944,74.371,5.86,86,100,8.66,overcast clouds
174,Cherskiy,RU,68.75,161.3,-25.6,99,100,1.95,overcast clouds
175,Beringovskiy,RU,63.05,179.3167,-8.99,99,75,3.0,broken clouds
176,Pitimbu,BR,-7.4706,-34.8086,77.38,81,86,7.38,overcast clouds
177,Buraydah,SA,26.326,43.975,50.45,39,0,14.38,clear sky
178,Hamilton,US,39.1834,-84.5333,23.76,67,87,1.99,overcast clouds
179,Khatanga,RU,71.9667,102.5,-6.61,97,97,8.03,overcast clouds
180,Katherine,AU,-14.4667,132.2667,84.52,70,100,16.11,overcast clouds
181,Nishihara,JP,26.1842,127.7558,64.06,91,100,8.05,overcast clouds
182,Alta Floresta,BR,-9.8756,-56.0861,69.51,99,100,2.91,moderate rain
183,Chuy,UY,-33.6971,-53.4616,65.79,78,0,7.58,clear sky
184,Mount Isa,AU,-20.7333,139.5,82.17,83,75,12.66,broken clouds
185,Northam,GB,51.0333,-4.2167,43.39,86,44,6.6,scattered clouds
186,Saint-Pierre,RE,-21.3393,55.4781,76.68,73,15,6.91,few clouds
187,Yakymivka,UA,46.6897,35.1536,27.63,88,10,9.86,clear sky
188,Mayo,US,38.8876,-76.5119,24.08,43,0,13.0,clear sky
189,Tuatapere,NZ,-46.1333,167.6833,61.56,83,100,4.76,overcast clouds
190,Harper,LR,4.375,-7.7169,78.8,87,10,5.86,clear sky
191,Verdun,FR,49.25,5.3333,47.7,93,100,10.94,overcast clouds
192,Colac,AU,-38.3333,143.5833,71.62,81,98,7.25,overcast clouds
193,Paamiut,GL,61.994,-49.6678,14.14,69,100,15.28,light snow
194,Abu Samrah,SY,35.3029,37.1841,38.28,86,19,6.49,few clouds
195,Saint-Joseph,RE,-21.3667,55.6167,75.58,82,40,10.94,scattered clouds
196,Linqiong,CN,30.4159,103.4609,40.64,90,100,3.49,overcast clouds
197,Sao Felix Do Xingu,BR,-6.6447,-51.995,70.95,96,100,1.63,light rain
198,Corrente,BR,-3.7367,-43.3394,72.9,89,100,2.98,moderate rain
199,Wanaka,NZ,-44.7,169.15,72.1,41,100,5.01,light rain
200,Galle,LK,6.0367,80.217,76.87,80,5,4.25,clear sky
201,Henties Bay,NA,-22.116,14.2845,61.86,83,77,3.22,broken clouds
202,Klaksvik,FO,62.2266,-6.589,32.92,63,100,13.67,overcast clouds
203,Mashivka,UA,49.4431,34.8669,25.25,94,100,10.69,overcast clouds
204,Hithadhoo,MV,-0.6,73.0833,80.76,68,78,2.55,broken clouds
205,Asau,RO,46.4333,26.4,34.75,66,100,10.49,overcast clouds
206,Lebu,CL,-37.6167,-73.65,58.41,88,0,9.04,clear sky
207,Chinhoyi,ZW,-17.3667,30.2,64.67,95,99,9.19,light rain
208,Christchurch,NZ,-43.5333,172.6333,75.99,46,86,3.0,overcast clouds
209,Paragominas,BR,-2.9667,-47.4833,70.99,99,100,2.48,overcast clouds
210,Shingu,JP,33.7333,135.9833,46.42,45,100,3.98,overcast clouds
211,Nuuk,GL,64.1835,-51.7216,11.01,79,100,23.02,light shower snow
212,Tateyama,JP,34.9833,139.8667,47.1,57,56,14.18,broken clouds
213,Grand-Santi,GF,4.25,-54.3833,71.11,97,16,2.53,few clouds
214,Kalaleh,IR,37.3807,55.4916,40.78,64,3,3.31,clear sky
215,Saint-Leu,RE,-21.15,55.2833,76.06,78,24,7.18,few clouds
216,Souillac,MU,-20.5167,57.5167,76.35,75,100,11.39,overcast clouds
217,Guerrero Negro,MX,27.9769,-114.0611,64.24,41,2,13.15,clear sky
218,Vila Velha,BR,-20.3297,-40.2925,80.55,86,20,5.01,few clouds
219,Carnarvon,AU,-24.8667,113.6333,80.67,78,100,14.97,overcast clouds
220,Apiai,BR,-24.5094,-48.8425,59.85,100,100,1.5,overcast clouds
221,Kruisfontein,ZA,-34.0033,24.7314,58.89,91,3,4.36,clear sky
222,Kushikino,JP,31.7167,130.2667,47.43,60,100,10.31,overcast clouds
223,Praia,CV,14.9215,-23.5087,70.34,68,75,16.11,broken clouds
224,Clyde River,CA,70.4692,-68.5914,-7.37,71,100,5.75,light snow
225,Banjar,ID,-8.19,114.9675,82.26,86,100,4.18,light rain
226,Oussouye,SN,12.485,-16.5469,73.45,56,100,11.43,overcast clouds
227,Baruun-Urt,MN,46.6806,113.2792,-6.54,84,82,4.47,broken clouds
228,Mar Del Plata,AR,-38.0023,-57.5575,74.88,71,78,20.0,broken clouds
229,Bandipur,NP,27.9333,84.4167,38.8,82,1,2.28,clear sky
230,Codrington,AU,-38.2667,141.9667,71.76,74,100,8.05,overcast clouds
231,Reconquista,AR,-29.15,-59.65,73.76,41,0,6.64,clear sky
232,Arauca,CO,7.0847,-70.7591,86.0,51,5,2.3,clear sky
233,Coahuayana,MX,18.7333,-103.6833,83.68,75,0,2.84,clear sky
234,Usak,TR,38.5,29.4167,25.11,81,100,4.83,overcast clouds
235,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.88,92,100,6.42,overcast clouds
236,Alofi,NU,-19.0595,-169.9187,81.84,71,100,7.9,overcast clouds
237,Sfantu Gheorghe,RO,45.8667,25.7833,20.93,95,100,1.99,overcast clouds
238,Maneadero,MX,31.7167,-116.5667,61.2,76,90,5.01,overcast clouds
239,Ponta Do Sol,PT,32.6667,-17.1,63.23,40,15,6.02,few clouds
